13 gennaio 2019,10,Locale alla deriva in un mare di maleducazione e incompetenza,"Ho cominciato la serata chiedendo un bicchiere di vino scelto fra uno dei tre proposti dalla lista e mi viene detto che non ne era disponibile nessuno a parte un Chianti fuori menù, arrivato il vino era di qualità infima, lo bevo senza lamentarmi ma a fatica. Dopodichè in serie noto che il barista versa un bicchiere di vino rosso in un calice lo svuota e senza lavarlo lo riempie di spumante e lo serve a un tavolo ridendo di gusto con l'altro ragazzo dietro al bancone, non so se sia una pratica per servire un particolare tipo di vino ma l'atteggiamento che ho visto non mi faceva presagire nulla di buono. Fine serata: una mia amica ha appena ordinato da bere ma visto che il locale sta chiudendo chiede un bicchiere di plastica, dopo 10 min non è ancora arrivato e chiede di nuovo gentilmente il bicchiere, prima il barista gli risponde in maniere molto sgarbata e poi mentre sta arrivando credendo di non essere visto fa finta di tossirci dentro e ride di nuovo guardando l'altro cameriere. Vorrei far notare al barista che essere dietro a un bancone non ti permette di prendere in giro i clienti trattandoli male servendo alcol di qualità ridicola e continuando ripetutamente a scherzare alle loro spalle, mi piacerebbe ricevere una risposta dalla dirigenza della catena di cui fa parte il locale, ma ho notato che è da un pò di recensione a una stella che anche loro hanno deciso di lasciare perdere questa filiale, penso che farò lo stesso."
9 gennaio 2019,40,“Aperitivo con amici”,"Abbiamo fatto un aperitivo in compagnia dei nostri amici. Ci ha soddisfatto. Poco cibo ma buono. Abbiamo preso del vino. Il locale è anche molto carino, tranquillo. Piacevole per una chiacchierata tra amici. Neanche tanto affollato, forse perché era infrasettimanale."
28 dicembre 2018,40,"Cordiale e ""Giusto""....",Alcuni giorni fa mi avvicino a questo Bel locale ed erano gia le 20....aspettando un amico per un Apericena... Qualcuno mi aveva avvisato che senza prenotazione sarebbe stato impossibile soprattutto di venerdi.... Invece sono stato Ben accolto da un Ragazzo Garbato che credo fosse il Responsabile...mi ha fatto attendere 2 minuti e mi ha poi lasciato un Bel posto in veranda....al caldo. Locale giusto; Bella Gente; Ottimo aperitivo....e Buoni i drink...che abbiamo provati Bravi!!!!!
19 dicembre 2018,10,Avete esagerato!,"Scelgo rum diplomatico Arriva una quantità ridotta con arancia ok, limone ?? e cioccolato al latte ?? Dopo averlo bevuto alla cassa la sorpresa 15 euro a persona, in due 30 euro! Voi siete fuori ... la bottiglia costa 30 euro..."
1 dicembre 2018,20,Anche NO,"Brunch domenica.e. Locale scelto da una nipote. Cosa posso dire? Anche no, grazie. Sono abituata ad altri brunch. Dove la scelta e la qualità é innumerevole. Certamente mi scorderò tutto e non ritornerò. So benissimo che sopravviveranno anche senza di me ma sarò io a guadagnarne."
8 ottobre 2018,30,Niente di particolare,"Difficile trovare posto all'ora dell'aperitivo, servizio raffazzonato e veloce per ordinare, cocktail mediocri e soprattutto prezzi cari, location piacevole perché in zona centrale, sicuramente non ci torniamo, ci sono molti altri posti migliori"
4 ottobre 2018,20,Carino,"Aperitivo di sabato sera con amici, lato positivo di questo locale è il dehors, non sembrava ci fosse ressa. Atmosfera molto carina. Abbiamo gradito ciò, e siamo riusciti a Sun Tzu l'arte della guerra chiacchierare. L’aperitivo è un po’ povero: carote crude pizza e qualche piatto con cereali e verdura, per me troppo poco. Consigliato solo per atmosfera e per fare un aperitivo leggero"
17 settembre 2018,40,"e dopo la colazione, anche il BRUNCH","Domenica mattina a Milano. Incontro degli amici per un saluto rapido e decidiamo di andare a fare colazione in questo posto. Colazione buona, poi le chiacchiere ci hanno portato all'ora praticamente di pranzo, e grazie alla disponibilità e all'organizzazione della responsabile, siamo riusciti a rimanere ed assaggiare il brunch, che è diverso dal solito milanese. Puoi scegliere un menu fisso, dettagliatamente descritto anche sulla tovaglietta che ti portano, con hamburger e patatine e focacce. Buonissimo il brownies."
16 settembre 2018,50,Colazione okeissima!!,"Eccellente il cappuccino, fantastica la cornetteria che è favolosa perchè fatta ""espresso"" e altamente assortita!"
2 settembre 2018,10,Maleducazione,Peccato per i prodotti che sono buoni ma cameriera maleducata inefficiente e disorganizzata. Venti minuti per poter ordinare prima ti dicono che non ci sono più brioche poi però l’altra cameriera avvisa che le brioche ci sono chiedo di cambiare l’ordinazione e la mia cameriera si irrita e maleducatamente mi porta la colazione mezz’ora dopo. Come noi scontenti tutti i tavoli all’esterno tra cui uno con disabile stavano per andarsene. Peccato non ci torno più ne mi permetto di indicarlo ad amici .
